team_id,team_name,obp
109,Arizona Diamondbacks,0.284
133,Athletics,0.296
144,Atlanta Braves,0.326
110,Baltimore Orioles,0.330
111,Boston Red Sox,0.310
112,Chicago Cubs,0.312
145,Chicago White Sox,0.291
113,Cincinnati Reds,0.290
114,Cleveland Guardians,0.307
115,Colorado Rockies,0.307
116,Detroit Tigers,0.330
117,Houston Astros,0.371
118,Kansas City Royals,0.321
108,Los Angeles Angels,0.302
119,Los Angeles Dodgers,0.361
146,Miami Marlins,0.340
158,Milwaukee Brewers,0.356
142,Minnesota Twins,0.325
121,New York Mets,0.324
147,New York Yankees,0.330
143,Philadelphia Phillies,0.307
134,Pittsburgh Pirates,0.338
135,San Diego Padres,0.282
137,San Francisco Giants,0.283
136,Seattle Mariners,0.280
138,St. Louis Cardinals,0.324
139,Tampa Bay Rays,0.326
140,Texas Rangers,0.292
141,Toronto Blue Jays,0.309
120,Washington Nationals,0.339
