game_pk,team,opponent,obp,opponent_obp,matchup,odds
823964,Los Angeles Dodgers,New York Mets,0.369,0.305,0.0640,favorite
823153,Houston Astros,Seattle Mariners,0.369,0.312,0.0570,not favorite
824856,Baltimore Orioles,Arizona Diamondbacks,0.335,0.286,0.0490,favorite
824937,Atlanta Braves,Miami Marlins,0.341,0.325,0.0160,favorite
823400,Washington Nationals,Pittsburgh Pirates,0.343,0.328,0.0150,not favorite
823563,Los Angeles Angels,New York Yankees,0.323,0.308,0.0150,not favorite
823481,Chicago Cubs,Philadelphia Phillies,0.321,0.307,0.0140,not favorite
823725,Minnesota Twins,Boston Red Sox,0.328,0.317,0.0110,not favorite
823073,St. Louis Cardinals,Cleveland Guardians,0.320,0.311,0.0090,not favorite
825024,Texas Rangers,Athletics,0.300,0.299,0.0010,favorite
825024,Athletics,Texas Rangers,0.299,0.300,-0.0010,not favorite
823073,Cleveland Guardians,St. Louis Cardinals,0.311,0.320,-0.0090,favorite
823725,Boston Red Sox,Minnesota Twins,0.317,0.328,-0.0110,favorite
823481,Philadelphia Phillies,Chicago Cubs,0.307,0.321,-0.0140,favorite
823400,Pittsburgh Pirates,Washington Nationals,0.328,0.343,-0.0150,favorite
823563,New York Yankees,Los Angeles Angels,0.308,0.323,-0.0150,favorite
824937,Miami Marlins,Atlanta Braves,0.325,0.341,-0.0160,not favorite
824856,Arizona Diamondbacks,Baltimore Orioles,0.286,0.335,-0.0490,not favorite
823153,Seattle Mariners,Houston Astros,0.312,0.369,-0.0570,favorite
823964,New York Mets,Los Angeles Dodgers,0.305,0.369,-0.0640,not favorite
