odds_role,matchup_sign,description,wins,losses,ties,no_result,decided_games,win_rate_wl_only
favorite,lt0,favorite (moneyline); matchup < 0,6,3,0,0,9,0.6667
favorite,eq0,favorite (moneyline); matchup = 0,0,0,0,0,0,
favorite,gt0,favorite (moneyline); matchup > 0,4,8,0,0,12,0.3333
favorite,unknown,favorite (moneyline); matchup unparsable,0,0,0,0,0,
not_favorite,lt0,not favorite (moneyline); matchup < 0,8,4,0,0,12,0.6667
not_favorite,eq0,not favorite (moneyline); matchup = 0,0,0,0,0,0,
not_favorite,gt0,not favorite (moneyline); matchup > 0,3,6,0,0,9,0.3333
not_favorite,unknown,not favorite (moneyline); matchup unparsable,0,0,0,0,0,
other,lt0,other odds label (unknown / equal / …); matchup < 0,0,0,0,0,0,
other,eq0,other odds label (unknown / equal / …); matchup = 0,0,0,0,0,0,
other,gt0,other odds label (unknown / equal / …); matchup > 0,0,0,0,0,0,
other,unknown,other odds label (unknown / equal / …); matchup unparsable,0,0,0,0,0,
