odds_role,spread_bin_index,spread_bin_label,plot_x_matchup_center,wins,losses,ties,no_result,decided_games,win_rate_wl_only
favorite,0,matchup < -0.05,-0.06500,1,0,0,0,1,1.0000
favorite,1,"[-0.05, -0.03)",-0.04000,0,0,0,0,0,
favorite,2,"[-0.03, -0.02)",-0.02500,1,0,0,0,1,1.0000
favorite,3,"[-0.02, -0.01)",-0.01500,3,2,0,0,5,0.6000
favorite,4,"[-0.01, 0.00)",-0.00500,1,1,0,0,2,0.5000
favorite,5,"[0.00, 0.01)",0.00500,0,2,0,0,2,0.0000
favorite,6,"[0.01, 0.02)",0.01500,2,0,0,0,2,1.0000
favorite,7,"[0.02, 0.03)",0.02500,0,1,0,0,1,0.0000
favorite,8,"[0.03, 0.05)",0.04000,1,4,0,0,5,0.2000
favorite,9,matchup ≥ 0.05,0.06500,1,1,0,0,2,0.5000
not_favorite,0,matchup < -0.05,-0.06500,1,0,0,0,1,1.0000
not_favorite,1,"[-0.05, -0.03)",-0.04000,3,2,0,0,5,0.6000
not_favorite,2,"[-0.03, -0.02)",-0.02500,1,0,0,0,1,1.0000
not_favorite,3,"[-0.02, -0.01)",-0.01500,1,2,0,0,3,0.3333
not_favorite,4,"[-0.01, 0.00)",-0.00500,2,0,0,0,2,1.0000
not_favorite,5,"[0.00, 0.01)",0.00500,1,1,0,0,2,0.5000
not_favorite,6,"[0.01, 0.02)",0.01500,2,3,0,0,5,0.4000
not_favorite,7,"[0.02, 0.03)",0.02500,0,1,0,0,1,0.0000
not_favorite,8,"[0.03, 0.05)",0.04000,0,0,0,0,0,
not_favorite,9,matchup ≥ 0.05,0.06500,0,1,0,0,1,0.0000
